timestamps,TP9,AF7,AF8,TP10,Right AUX
1700264827.382,-54.199,-75.684,-540.527,-539.062,0.000
1700264827.385,999.512,57.129,-97.168,489.258,0.000
1700264827.389,622.559,56.152,17.578,650.879,0.000
1700264827.393,-886.230,-89.355,-558.594,-395.020,0.000
1700264827.397,-434.570,-63.477,-623.535,-883.301,0.000
1700264827.401,999.512,72.754,-186.523,19.043,0.000
1700264827.405,892.578,75.684,-16.113,613.281,0.000
1700264827.409,-503.906,-42.969,-366.211,-179.688,0.000
1700264827.413,-806.152,-97.168,-686.523,-1000.000,0.000
1700264827.417,638.184,8.789,-386.719,-352.051,0.000
1700264827.421,999.512,66.406,-131.348,529.297,0.000
1700264827.425,-155.273,-44.922,-473.145,116.211,0.000
1700264827.428,-1000.000,-112.305,-806.152,-929.688,0.000
1700264827.432,124.512,33.203,-437.988,-623.535,0.000
1700264827.436,999.512,85.449,-189.941,442.871,0.000
1700264827.440,100.098,24.414,-302.246,375.977,0.000
1700264827.444,-1000.000,-38.574,-522.949,-710.449,0.000
1700264827.448,-194.824,-0.977,-485.352,-727.051,0.000
1700264827.452,999.512,83.008,-291.992,363.281,0.000
1700264827.456,381.348,84.473,-229.004,642.090,0.000
1700264827.460,-1000.000,-38.086,-548.828,-418.457,0.000
